,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,x,y,z,v_x,v_y,v_z,v_r,r
621,1635721458409799680,Gaia DR2 1586454339530239872,1586454339530239872,475450212,2015.5,223.66118643258517,0.016211584794863454,44.35199579848216,0.01687880380701734,1.3111161042416108,0.02053957150727227,63.833664,4.411116345228321,0.03164837981069125,-3.885580700408527,0.03496732396198576,0.11867572,-0.089094795,-0.13059096,-0.048704818,0.17542769,-0.08034891,-0.18482997,-0.08370812,-0.19121927,0.20133671,339,339,331,8,16.698223000000002,963.90405,0.0,3.117341390788407e-15,31,True,334.7612,1.6982632235106625,0.005151958926216178,0.013945978000000001,38,19,0.030127734,0,40,False,342,304531.0794164611,63.50363127334187,4795.4907,11.979286,37,196068.11418710087,251.3965452055341,779.9157,12.120371,36,164213.5417466888,133.76171758499316,1227.6572,11.723397,1.1830702,0,0.3969736,0.14108467,0.25588894,-27.92444398907327,3.1273953813550937,11,6500.0,3.5,0.0,NOT_AVAILABLE,75.98602393738847,59.92715291386776,198.67683936184363,56.90330774553816,100001,7985.75,7817.5,8126.0,0.499,0.303,0.7653,0.24,0.149,0.341,200111,1.407352,1.3591911,1.4685825000000001,7.257097999999999,7.0477214,7.466475,-8205.25851317,370.81756094,686.736056195,28.2646147471,221.238186,-21.3129456525,223.03637235061373,8213.633357500248
759,1635721458409799680,Gaia DR2 1586882972970677248,1586882972970677248,1167632811,2015.5,223.79178326350362,0.021806320884827292,46.029251257306576,0.02559025242602495,1.2990492032302212,0.026881279067861738,48.325424,-5.957206159594022,0.04185462660521471,-14.170433642932249,0.05461941321599363,0.06649486,-0.21190245,-0.2867876,0.035676155,-0.086690925,0.03363596,-0.52955043,-0.1353248,0.01599126,0.075406566,237,237,228,9,12.047791,585.1980599999999,0.0,1.8740720218937298e-15,31,True,377.8734,1.665594792627045,0.007320996273997856,0.021205502,27,17,0.04184216,0,30,False,252,464930.73608059634,133.7884293493293,3475.1191,11.519896000000001,28,296335.7360291657,360.5839054929248,821.8218400000001,11.671928,29,252851.55817170566,237.88908837266558,1062.8969,11.254756,1.1812239,1,0.41717243,0.15203285,0.26513958,-58.62722517448511,1.5439823623573818,11,6000.0,3.5,-0.25,NOT_AVAILABLE,78.88517856344822,59.11479531583394,197.13842875903057,58.367484143033984,100002,7738.75,7558.435,7895.5,0.9533,0.6629,1.1008,0.4663,0.2912,0.5408,200111,1.8479317,1.7752858,1.9371523999999998,11.034428,10.654099,11.414756,-8221.63261159,387.737336344,687.384478499,33.6655127397,159.660232376,-21.1522377756,163.17094272682084,8230.770501109731
1289,1635721458409799680,Gaia DR2 1588629890788923776,1588629890788923776,1385403446,2015.5,229.84235559569885,0.02153115951747187,49.298100262888724,0.02066744405706506,1.5111095567355624,0.02380584064359173,63.47642,-15.832998057291864,0.03922901903926232,-14.434885359942125,0.04401207296961121,-0.058539264,-0.30359003,-0.09164417,0.13996814,0.13392498,0.09042507400000001,-0.25450838,-0.05227371,-0.055695876,0.09681841,263,263,258,5,17.580294,888.74677,0.06956131471794562,2.4433435815968387,31,True,115.09603,1.6628662040929667,0.006552845944962361,0.12333665,30,18,0.03447735,0,33,False,289,307524.5462135277,258.4053664912927,1190.0858,11.968666,33,194948.46415746296,651.7810318230207,299.10117,12.126589,33,169641.30555412357,362.60187940990784,467.84454000000005,11.688091,1.1855632,0,0.43849754,0.15792274,0.2805748,-57.334437933047006,2.7503124280781783,12,6500.0,3.5,0.0,NOT_AVAILABLE,81.02863342307987,54.028111877652314,200.3177000462561,63.355617543831386,100001,7768.0,7492.0,7996.0,0.4217,0.2129,0.6493,0.201,0.067,0.309,200111,1.2837243999999999,1.2115593,1.3800496000000002,5.405989599999999,5.257643,5.554336,-8237.59834235,383.956997017,562.370865256,18.3444945539,144.642422484,-1.64102172946,145.80106605392533,8246.541664567143
1630,1635721458409799680,Gaia DR2 1589793899941121792,1589793899941121792,1646430713,2015.5,221.66865720660698,0.025204957435479947,45.37889074158129,0.02450028297106829,1.0613026103067336,0.031051158625545063,34.179159999999996,2.2468759479964144,0.048017260689852015,-11.061174278761904,0.04818917664065273,0.24666324,-0.076057605,-0.086828746,0.049032967999999996,0.21429570000000003,0.006020245600000001,-0.025162825,-0.12250792,-0.26716712,0.32262763,286,286,283,3,20.045965,1067.5454,0.1166673787132595,7.263271746487164,31,True,54.176384,1.725429898744158,0.007102411463879989,0.10762431,34,19,0.03865773,0,36,False,289,976355.388743554,285.7722487805915,3416.5508,10.714346,28,647637.194097594,650.9552999307842,994.9027,10.823058999999999,29,488208.8924851951,617.6176445624477,790.47107,10.540405999999999,1.1633531000000001,1,0.28265285,0.10871315,0.1739397,10.528446738920755,0.8200342596970361,10,6750.0,3.5,0.0,NOT_AVAILABLE,79.11918795623991,60.72955299245925,195.4805819440014,57.01237222237731,100002,8002.3335,7856.5,8198.75,,,,,,,0,,,,,,,-8210.3204734,452.407410746,848.648382209,56.9595720922,215.423518413,23.5800464137,222.8265808609637,8222.775367304932
1936,1635721458409799680,Gaia DR2 1590930451366984064,1590930451366984064,1098172273,2015.5,220.28877178540688,0.02186727795104529,47.257030013473724,0.02338452488653354,1.2499759744126622,0.029403313636713124,42.5114,-7.508148265332463,0.0415605723644315,-2.9760428986827385,0.03948268395672105,0.033192463,-0.21212402,-0.14920862,-0.055709112000000005,0.35467600000000005,-0.20406377,-0.2560303,-0.27632248,-0.23333070000000003,0.11717518,305,305,299,6,16.891939999999998,921.8512599999999,0.07253260568816561,2.6446179914908994,31,True,109.24828000000001,1.6939854855004048,0.006395519329541947,0.015342868,35,19,0.03209485,0,47,False,403,240086.28710215996,78.14262491557982,3072.4114,12.237447999999999,40,159993.8428398535,199.7140186870512,801.11475,12.34113,39,123792.01624812142,104.9331161325245,1179.723,12.030189,1.1820161,0,0.3109417,0.10368252,0.20725918,-23.537435848933548,4.187273471143803,11,6500.0,3.5,-1.5,NOT_AVAILABLE,83.40579376107446,60.57678544532597,192.0521212208621,58.0360417236876,100001,8316.25,8058.0,8904.75,0.11,0.0274,0.3277,0.0603,0.0059,0.1701,0,,,,,,,-8252.55787508,390.411820776,723.675407116,0.527538082569,195.532091094,1.51132564514,195.5328027310336,8261.787510666705
2173,1635721458409799680,Gaia DR2 1591778724587978496,1591778724587978496,1619996036,2015.5,221.32888847729416,0.03965891976975738,49.456952336066564,0.02933963840438838,1.5209524109670736,0.040894584216189266,37.192023999999996,-3.1117261948171238,0.07091059770888546,-20.939683776789035,0.06359720672675119,-0.083402604,0.030918436,-0.39207688,-0.016626671000000003,0.0019993756,0.022872014,-0.023291161,-0.045324012999999996,-0.34301785,0.008007118,110,110,107,3,7.101522,239.58595,0.0,0.0,31,True,431.8471,1.7024300108806054,0.011642105640495308,-0.017801384,13,10,0.047147296,0,16,True,119,362734.0884202661,144.83755175167468,2504.4202,11.789394,13,232390.2479235664,563.4652286504147,412.4305,11.935842999999998,13,195955.26286072642,278.09733273856943,704.6283599999999,11.531528,1.1808802,0,0.40431595,0.14644909,0.25786686,28.510908992924442,12.013853772521742,6,6500.0,3.5,0.0,NOT_AVAILABLE,86.23568762476803,58.76651815615159,190.62398329086452,60.22252620259328,100001,7596.0,7397.0,7930.3335,0.5489999999999999,0.2754,0.6683,0.272,0.1405,0.3311,200111,1.4401007,1.3212343,1.5186283999999999,6.220427,5.9774985,6.4633555,-8275.74552147,340.186039233,589.112885973,57.3927261489,205.065057036,55.0503534052,212.94506951832517,8282.734480682111
3076,1635721458409799680,Gaia DR2 1595019187217692800,1595019187217692800,1028415652,2015.5,234.80056074340504,0.017012743105217592,51.080491300631884,0.018831987407690487,1.1366084018809408,0.02023615004754557,56.167225,6.362887550391482,0.03439637251882849,2.4330371034862366,0.043204123910224095,-0.072088815,-0.26146638,-0.034739085,-0.0059989886,0.18989633,-0.05977271,-0.10892973,-0.061195433,-0.16715716,0.049509272,256,256,255,1,11.302264,596.2617,0.0,0.0,31,True,327.5286,1.707179124240689,0.005075419973596551,0.057586532,29,17,0.03527323,0,31,False,271,251514.9764842877,64.23309082418241,3915.6604,12.186956,29,162990.58780109015,228.25693374230946,714.06635,12.320982,26,133653.58036504962,123.13312161531192,1085.4397,11.946968,1.1794294,0,0.3740139,0.13402557,0.23998833,14.880079025734489,18.414636319841613,7,6500.0,3.5,0.0,NOT_AVAILABLE,81.71563275254073,50.4129219751737,204.03760937618276,66.63969521993275,100001,7998.0,7772.0,8307.0,,,,,,,200111,1.4718441999999998,1.3643827,1.5586876,7.986269999999999,7.722882000000001,8.249659,-8216.96805234,554.807935178,704.766661683,15.6465957164,263.283732721,0.597308370218,263.74825093848176,8235.67701031236
3405,1635721458409799680,Gaia DR2 1596107501865990272,1596107501865990272,1110591652,2015.5,232.99601751865768,0.022016337751083803,52.22236710432485,0.02424484025818561,0.978421875479076,0.023630078895805068,41.40578,-8.903866406674727,0.04153406408795295,8.073874274155372,0.04568515022034572,-0.11535892,-0.022487597999999998,-0.21288134,0.18262692,0.15205257,0.11792177,-0.4927572,-0.19169678,-0.11524661,0.0017540042,194,194,193,1,10.114339999999999,459.0196,0.0,0.0,31,True,383.94034,1.7230115925409382,0.006907693663628079,0.1336974,22,16,0.03727774,0,24,False,200,299787.15015759785,85.14229521289933,3521.0132,11.996333,22,198114.06146712086,289.8897342128379,683.4118,12.1091,21,154413.92946143865,181.7888623388889,849.4136,11.790204,1.1759276,1,0.31889629999999997,0.11276722,0.20612907,-47.648981988571634,2.169454945785998,5,6500.0,3.5,-1.5,NOT_AVAILABLE,84.06033401461826,51.00694098173782,200.03429878626488,66.89277399790657,100002,8284.0,8098.6665,8380.0,,,,,,,0,,,,,,,-8230.82387484,639.649412124,821.14341515,-47.0448983606,189.95870874,-14.9562467908,195.69755616258044,8255.641285147925
3672,1635721458409799680,Gaia DR2 1596938560858180096,1596938560858180096,596934969,2015.5,234.79451734582312,0.9600825081048802,53.28309562062872,1.088770369339193,1.4873327415256723,1.0609111452012328,1.401939,-15.47267152706694,2.21414752122154,-8.099236666995619,2.3194223503345808,-0.05433215,-0.009309059,-0.098265275,-0.032219604,0.17003301,-0.05279732,-0.12374551,-0.10187048,-0.085546315,-0.026714254,188,188,187,1,472.5626,977322.44,6.920094349975384,19049.424146660327,31,False,0.017861771999999998,1.4814351160852302,0.3929501811860367,0.034973495,21,15,1.1361166999999999,0,23,False,201,585128.8630180014,305.28935757855743,1916.6370000000002,11.270237,22,384319.3972840068,661.9319560655281,580.6026,11.389657000000001,22,304692.2704171444,297.3918488903969,1024.5481,11.052266,1.1775383999999998,0,0.3373909,0.11942005,0.21797085,-51.62791138132431,4.005564684004214,10,6500.0,3.5,0.0,NOT_AVAILABLE,84.8895981964538,49.58242387795811,200.56856553234348,68.3989535125975,100001,8134.3335,7945.0,8295.333,0.6897,0.5513,0.8076,0.3425,0.268,0.3913,0,,,,,,,-8259.46212649,434.183300586,538.754079628,8.37602919698,156.441338282,3.94582471476,156.66540839855014,8270.866324480568
3880,1635721458409799680,Gaia DR2 1597558341818674048,1597558341818674048,476877647,2015.5,239.27316925022842,0.022665609554363177,55.126557293862746,0.023968334337924224,1.0211008263703891,0.025171948199449668,40.56503,9.156344527691182,0.04368722186632145,-20.545186462494264,0.04975792427693853,-0.035070196,-0.17913264,-0.070584476,0.13448821,0.23642202,0.042179428,-0.28542438,-0.21571651,-0.11444882,0.06775831,217,200,215,2,13.768320999999998,636.0154,0.06174857889203345,1.6452607351973658,31,True,111.62973000000001,1.7374233976133582,0.006767219456661555,0.19176097,25,18,0.039043065,0,28,False,229,164776.11218885393,76.86287551390542,2143.7670000000003,12.646131,28,109894.32292149817,208.2289185247794,527.75726,12.74895,27,83890.25830228528,105.24378883244718,797.1041,12.452641,1.1760478,0,0.29630852,0.10281944,0.19348907,-28.626625739397422,4.801507181728118,2,5500.0,3.5,-1.5,NOT_AVAILABLE,85.97271923681589,46.46317241823081,203.09806447609057,71.48205955115264,100001,8258.25,8023.0,8699.0,0.1567,0.0729,0.353,0.0823,0.0359,0.1651,0,,,,,,,-8250.27010499,672.919513041,736.794407485,113.932315106,209.715867512,-18.0917870932,238.66570241969197,8277.667393438232
